przystanek,nr_przystanku,linia,kierunek,dzień,godzina przyjazdu
PKP Powiśle,04,162,Pl Hallera,2024-06-24,21:07:50
Topiel,01,162,Pl Hallera,2024-06-24,21:09:35
Metro Centrum Nauki Kopernik,03,162,Pl Hallera,2024-06-24,21:10:29
most Świętokrzyski,02,162,Pl Hallera,2024-06-24,21:12:08
os.Panieńska,02,162,Pl Hallera,2024-06-24,21:14:00
Sierakowskiego,02,162,Pl Hallera,2024-06-24,21:15:00
Ząbkowska,06,162,Pl Hallera,2024-06-24,21:17:15
Dw.Wileński,02,162,Pl Hallera,2024-06-24,21:18:50
PKP Powiśle,04,162,Pl Hallera,2024-06-24,21:14:49
Topiel,01,162,Pl Hallera,2024-06-24,21:14:02
Metro Centrum Nauki Kopernik,03,162,Pl Hallera,2024-06-24,21:12:13
most Świętokrzyski,02,162,Pl Hallera,2024-06-24,21:11:26
os.Panieńska,02,162,Pl Hallera,2024-06-24,21:10:46
Sierakowskiego,02,162,Pl Hallera,2024-06-24,21:08:15
Ząbkowska,06,162,Pl Hallera,2024-06-24,21:07:52
Dw.Wileński,02,162,Pl Hallera,2024-06-24,21:07:52
Dw.Wileński,02,162,Pl Hallera,2024-06-24,21:08:17
PKP Powiśle,04,162,Pl Hallera,2024-06-24,21:29:57
Topiel,01,162,Pl Hallera,2024-06-24,21:29:16
Metro Centrum Nauki Kopernik,03,162,Pl Hallera,2024-06-24,21:26:09
most Świętokrzyski,02,162,Pl Hallera,2024-06-24,21:25:05
os.Panieńska,02,162,Pl Hallera,2024-06-24,21:23:50
Sierakowskiego,02,162,Pl Hallera,2024-06-24,21:22:25
Ząbkowska,06,162,Pl Hallera,2024-06-24,21:21:32
Dw.Wileński,02,162,Pl Hallera,2024-06-24,21:19:35
PKP Powiśle,04,162,Pl Hallera,2024-06-24,21:23:11
Topiel,01,162,Pl Hallera,2024-06-24,21:24:49
Metro Centrum Nauki Kopernik,03,162,Pl Hallera,2024-06-24,21:25:51
most Świętokrzyski,02,162,Pl Hallera,2024-06-24,21:27:51
os.Panieńska,02,162,Pl Hallera,2024-06-24,21:29:37
Sierakowskiego,02,162,Pl Hallera,2024-06-24,21:31:06
Ząbkowska,06,162,Pl Hallera,2024-06-24,21:32:40
Dw.Wileński,02,162,Pl Hallera,2024-06-24,21:34:30
PKP Powiśle,04,162,Pl Hallera,2024-06-24,21:47:13
Topiel,01,162,Pl Hallera,2024-06-24,21:46:09
Metro Centrum Nauki Kopernik,03,162,Pl Hallera,2024-06-24,21:43:22
most Świętokrzyski,02,162,Pl Hallera,2024-06-24,21:42:07
os.Panieńska,02,162,Pl Hallera,2024-06-24,21:40:57
Sierakowskiego,02,162,Pl Hallera,2024-06-24,21:38:26
Ząbkowska,06,162,Pl Hallera,2024-06-24,21:37:17
Dw.Wileński,02,162,Pl Hallera,2024-06-24,21:34:59
PKP Powiśle,04,162,Pl Hallera,2024-06-24,21:37:48
Topiel,01,162,Pl Hallera,2024-06-24,21:39:58
Metro Centrum Nauki Kopernik,03,162,Pl Hallera,2024-06-24,21:42:33
most Świętokrzyski,02,162,Pl Hallera,2024-06-24,21:46:28
os.Panieńska,02,162,Pl Hallera,2024-06-24,21:48:28
Sierakowskiego,02,162,Pl Hallera,2024-06-24,21:50:48
Ząbkowska,06,162,Pl Hallera,2024-06-24,21:52:51
Dw.Wileński,02,162,Pl Hallera,2024-06-24,21:54:40
Dw.Wileński,02,162,Pl Hallera,2024-06-24,21:44:30
PKP Powiśle,04,162,Pl Hallera,2024-06-24,22:00:29
Topiel,01,162,Pl Hallera,2024-06-24,21:59:59
Metro Centrum Nauki Kopernik,03,162,Pl Hallera,2024-06-24,21:57:19
most Świętokrzyski,02,162,Pl Hallera,2024-06-24,21:55:59
os.Panieńska,02,162,Pl Hallera,2024-06-24,21:54:44
Sierakowskiego,02,162,Pl Hallera,2024-06-24,21:52:39
Ząbkowska,06,162,Pl Hallera,2024-06-24,21:51:34
Dw.Wileński,02,162,Pl Hallera,2024-06-24,21:49:14
Dw.Wileński,02,162,Pl Hallera,2024-06-24,21:57:12
Sierakowskiego,01,162,EC Siekierki,2024-06-24,22:00:22
os.Panieńska,01,162,EC Siekierki,2024-06-24,22:00:22
most Świętokrzyski,03,162,EC Siekierki,2024-06-24,21:57:38
Metro Centrum Nauki Kopernik,04,162,EC Siekierki,2024-06-24,21:56:18
Topiel,03,162,EC Siekierki,2024-06-24,21:54:58
PKP Powiśle,03,162,EC Siekierki,2024-06-24,21:53:54
Metro Centrum Nauki Kopernik,04,162,EC Siekierki,2024-06-24,22:00:29
Topiel,03,162,EC Siekierki,2024-06-24,22:00:29
PKP Powiśle,03,162,EC Siekierki,2024-06-24,22:00:29
